name,geoid,geometry
"Dayton, TN",19420,"list(list(c(-84.916062, -84.797941, -84.781901, -84.723853, -84.72324, -84.766321, -84.781804, -84.782366, -84.815513, -84.879472, -84.857897, -84.895348, -84.923649, -84.980051, -85.016343, -85.067099, -85.101125, -85.135191, -85.143826, -85.109819, -85.107762, -85.047641, -84.916062, 35.761939, 35.825039, 35.825, 35.752896, 35.68967, 35.700056, 35.673908, 35.594799, 35.54539, 35.542008, 35.508568, 35.48297, 35.437371, 35.43927, 35.409288, 35.436809, 35.429366, 35.458649, 35.492645, 35.541551, 35.571359, 
35.618654, 35.761939)))"
"Union City, TN-KY",46460,"list(list(c(-88.8273012, -88.814016, -88.818885, -88.885917, -88.950205, -88.959839, -88.961232, -89.154464, -89.482971, -89.45264, -89.404284, -89.404989, -89.36012, -89.369237, -89.340158, -89.346053, -89.417275, -89.375453, -89.326731, -89.258318, -89.227319, -89.1746819, -89.147098, -89.026708, -88.940873, -88.903877, -88.8273012, 36.5028524, 36.470802, 36.411498, 36.392887, 36.409248, 36.222834, 36.201635, 36.204678, 36.212659, 36.228636, 36.313674, 36.351216, 36.409277, 36.434289, 36.47717, 
36.50321, 36.499011, 36.615719, 36.632186, 36.564948, 36.569375, 36.6504727, 36.649117, 36.592124, 36.591514, 36.576975, 36.5028524)), list(c(-89.571509, -89.55264, -89.484836, -89.465888, -89.485427, -89.539232, -89.571509, 36.552569, 36.577178, 36.571821, 36.529946, 36.497491, 36.497934, 36.552569)))"
"Jacksonville, TX",27380,"list(list(c(-95.459908, -94.985272, -94.984768, -94.937532, -94.954068, -94.938627, -94.97184, -94.941415, -94.915683, -94.865857, -95.003345, -95.060348, -95.100118, -95.099966, -95.143445, -95.176359, -95.208518, -95.273203, -95.275849, -95.337737, -95.39239, -95.403734, -95.442855, -95.424016, -95.453336, -95.424106, -95.428512, -95.459908, 32.135559, 32.137989, 31.846144, 31.845555, 31.796863, 31.772227, 31.739957, 31.627032, 31.569964, 31.526916, 31.42571, 31.46791, 31.469036, 31.518869, 31.539641, 
31.584826, 31.570185, 31.592886, 31.657229, 31.735522, 31.759725, 31.821835, 31.842095, 31.929432, 31.959568, 32.018893, 32.084475, 32.135559)))"
"The Dalles, OR",45520,"list(list(c(-121.696479, -121.481888, -121.482168, -121.440646, -121.4412246, -121.33777, -121.215779, -121.183841, -121.131953, -121.084933, -120.943977, -120.9157952, -120.895397, -120.908459, -120.882656, -120.838772, -120.868569, -120.920371, -120.956471, -121.01569, -121.024294, -120.987364, -120.858274, -120.723166, -120.729792, -120.503733, -120.483647, -120.477168, -120.489133, -120.43946, -120.455204, -120.371441, -121.08948, -121.725068, -121.752994, -121.734223, -121.77977, -121.805667, 
-121.770738, -121.737791, -121.652638, -121.70805, -121.748649, -121.686262, -121.696479, 45.25792, 45.258128, 45.519604, 45.519394, 45.6973034, 45.704949, 45.671238, 45.606441, 45.609762, 45.647893, 45.656445, 45.6413012, 45.589342, 45.558241, 45.527564, 45.515946, 45.401146, 45.359344, 45.310345, 45.307148, 45.219531, 45.198917, 45.195112, 45.130522, 45.083731, 45.083477, 45.05345, 44.981876, 44.951299, 44.899629, 44.865607, 44.821769, 44.823272, 44.825519, 44.829919, 44.88572, 44.935153, 45.006124, 
45.039837, 45.033616, 45.101992, 45.134055, 45.1918, 45.233301, 45.25792)))"
"Española, NM",21580,"list(list(c(-107.420913, -106.877292, -106.869796, -106.201469, -106.0063166, -105.971889, -105.984531, -105.971836, -105.955673, -105.938754, -105.955468, -105.960347, -106.03839, -106.058364, -105.856947, -105.735883, -105.53038, -105.572388, -105.632109, -105.64516, -105.717477, -105.716808, -106.071349, -106.054153, -106.054346, -106.245649, -106.248161, -106.247164, -106.885317, -106.885053, -107.254029, -107.624283, -107.626537, -107.623419, -107.618181, -107.556011, -107.451445, -107.456718, 
-107.420913, 37.000005, 37.000139, 36.992426, 36.994122, 36.9953456, 36.886247, 36.811371, 36.632444, 36.57559, 36.462402, 36.419099, 36.353552, 36.325528, 36.296978, 36.230434, 36.100133, 36.013014, 35.972456, 35.97959, 35.962163, 35.978741, 36.00232, 36.00197, 35.985908, 35.930783, 35.930742, 35.966327, 36.001434, 35.998969, 36.21657, 36.216567, 36.219809, 36.436305, 36.675344, 36.804267, 36.857092, 36.904036, 36.953186, 37.000005)))"
"Prescott, AZ",39140,"list(list(c(-113.334161, -113.259766, -113.174458, -113.137054, -112.981951, -112.95341, -112.79693, -112.754838, -112.694846, -112.577399, -112.4727, -112.440751, -112.4423, -112.335716, -112.334536, -111.809026, -111.777815, -111.778291, -111.552106, -111.554681, -111.554599, -111.659644, -111.663748, -111.704828, -111.712118, -111.484333, -111.471817, -111.494778, -111.72531, -112.164758, -112.161745, -112.195658, -112.232224, -112.235269, -112.27604, -112.743799, -113.333753, -113.333508, -113.333028, 
-113.332878, -113.334161, 35.528037, 35.529034, 35.506445, 35.473595, 35.396138, 35.35611, 35.322951, 35.306301, 35.311586, 35.243394, 35.238312, 35.260468, 35.149408, 35.148279, 34.973024, 34.976295, 34.981005, 34.803551, 34.80252, 34.471733, 34.439384, 34.386251, 34.317682, 34.212204, 34.151271, 34.151046, 34.042431, 33.999817, 33.999849, 34.04817, 34.019273, 33.974502, 33.954414, 33.915855, 33.882312, 33.999857, 33.999227, 34.317877, 34.78858, 35.141646, 35.528037)))"
"Chico, CA",17020,"list(list(c(-121.436886, -121.376489, -121.382266, -121.41948, -121.411936, -121.361206, -121.316938, -121.251074, -121.136715, -121.076695, -121.10697, -121.149898, -121.149907, -121.305122, -121.338264, -121.341807, -121.372901, -121.407527, -121.474964, -121.563965, -121.908269, -121.872481, -121.877341, -121.856532, -121.994021, -122.003134, -121.974794, -121.941583, -122.046471, -122.06393, -122.044865, -121.804041, -121.750634, -121.746251, -121.701938, -121.646032, -121.636174, -121.595647, 
-121.586407, -121.510559, -121.452898, -121.436886, 40.151905, 40.108626, 40.051827, 40.015766, 39.871421, 39.855473, 39.796702, 39.754041, 39.628169, 39.597264, 39.567191, 39.555289, 39.526446, 39.519585, 39.465031, 39.422427, 39.36459, 39.339754, 39.333341, 39.304984, 39.303878, 39.453427, 39.509549, 39.536904, 39.533926, 39.559295, 39.675487, 39.698113, 39.797648, 39.810634, 39.883771, 39.884344, 39.906805, 39.938532, 39.984364, 39.982527, 40.02581, 40.057714, 40.100522, 40.100515, 40.122125, 
40.151905)))"
"Sioux Falls, SD",43620,"list(list(c(-97.608517, -97.129089, -96.50663, -96.4532636, -96.45326, -96.5989289, -96.594254, -96.524044, -96.525564, -96.580708, -96.571194, -96.519273, -96.485264, -96.466537, -96.439335, -96.4541883, -96.805682, -97.160543, -97.160544, -97.399191, -97.40145, -97.607012, -97.608517, 43.849059, 43.847973, 43.847618, 43.8495012, 43.50039, 43.500441, 43.434153, 43.394762, 43.312467, 43.28902, 43.238961, 43.21769, 43.224183, 43.150281, 43.113916, 43.0833792, 43.08367, 43.083145, 43.169978, 43.169419, 
43.499783, 43.499826, 43.849059)))"
"Augusta-Richmond County, GA-SC",12260,"list(list(c(-82.046974, -82.008298, -81.894595, -81.87036, -81.836803, -81.651759, -81.571485, -81.502676, -81.460577, -81.418025, -81.366722, -81.269666, -81.187271, -81.372931, -81.751869, -81.763135, -81.704634, -81.617779, -81.561948, -81.767553, -81.857946, -81.956448, -82.081349, -82.123742, -82.147942, -82.201513, -82.316512, -82.272353, -82.29118, -82.266945, -82.232995, -82.262443, -82.349155, -82.398139, -82.451593, -82.498541, -82.535779, -82.553616, -82.584563, -82.649705, -82.618304, 
-82.51171, -82.605539, -82.645606, -82.61055, -82.556835, -82.51295, -82.492929, -82.422803, -82.346933, -82.255267, -82.234576, -82.199847, -82.196583, -82.133523, -82.095527, -82.165791, -82.182888, -82.172681, -82.1246, -82.154551, -82.1557, -82.046974, 33.95321, 33.961646, 33.975415, 33.891985, 33.866501, 33.81451, 33.87723, 33.808008, 33.797175, 33.734459, 33.728506, 33.693142, 33.652937, 33.490417, 33.201583, 33.159449, 33.116451, 33.095277, 33.045844, 32.909411, 32.953875, 32.923724, 32.916762, 
32.883656, 32.819758, 32.804609, 32.835772, 32.937796, 33.062827, 33.152755, 33.227714, 33.265663, 33.313236, 33.313814, 33.340876, 33.337727, 33.35746, 33.415802, 33.449654, 33.608768, 33.630973, 33.659172, 33.85991, 33.982803, 33.981579, 33.945353, 33.936969, 33.909754, 33.863754, 33.834298, 33.75969, 33.700216, 33.661758, 33.630582, 33.590535, 33.633869, 33.690108, 33.723732, 33.765459, 33.84199, 33.881673, 33.92929, 33.95321)))"
"Baraboo, WI",12660,"list(list(c(-89.785809, -89.727788, -89.599356, -89.60073, -89.677613, -89.71971, -89.713254, -89.733169, -89.805413, -89.841973, -89.903925, -90.000123, -90.082387, -90.193814, -90.191964, -90.311069, -90.312404, -89.785809, 43.641049, 43.569478, 43.558017, 43.380666, 43.361197, 43.319745, 43.282092, 43.251326, 43.238858, 43.202474, 43.18814, 43.194624, 43.161143, 43.164464, 43.554996, 43.553991, 43.640988, 43.641049)))"
"Cleveland-Elyria, OH",17460,"list(list(c(-82.3480737, -82.254678, -82.193375, -82.011966, -81.944658, -81.860262, -81.810758, -81.744755, -81.599747, -81.529742, -81.50044, -81.442645, -81.286925, -81.227521, -81.112885, -81.0021757, -81.003125, -81.003319, -81.298567, -81.598052, -81.563147, -81.68495, -81.688491, -82.129334, -82.173359, -82.171492, -82.336496, -82.344086, -82.342314, -82.3480737, 41.4283892, 41.434441, 41.46454, 41.515639, 41.492432, 41.483841, 41.495648, 41.48715, 41.560649, 41.614548, 41.623448, 41.673255, 
41.760243, 41.767744, 41.817571, 41.8531569, 41.501685, 41.34786, 41.347319, 41.351157, 41.278579, 41.277146, 40.98859, 40.991807, 40.992082, 41.063537, 41.065761, 41.199152, 41.283554, 41.4283892)))"
"Blacksburg-Christiansburg-Radford, VA",13980,"list(list(c(-80.980146, -80.900535, -80.849451, -80.883248, -80.8595631, -80.784188, -80.770082, -80.705203, -80.552036, -80.511391, -80.4727968, -80.430943, -80.32484, -80.262184, -80.258577, -80.190758, -80.177673, -80.1253, -80.10822, -80.112593, -80.13614, -80.183319, -80.198854, -80.235455, -80.317297, -80.344442, -80.386909, -80.394754, -80.443794, -80.464439, -80.633987, -80.68259, -80.740483, -80.835144, -80.893249, -80.930627, -80.854627, -81.014489, -80.980146, 37.292743, 37.315, 37.346909, 
37.383933, 37.4295582, 37.394587, 37.372363, 37.394618, 37.473563, 37.481672, 37.42378, 37.316378, 37.368833, 37.341526, 37.308702, 37.227984, 37.133092, 37.122507, 37.078006, 37.013822, 36.963459, 36.941512, 36.901524, 36.87213, 36.843729, 36.813471, 36.797676, 36.744439, 36.747859, 36.709146, 36.93178, 36.895144, 36.879001, 36.978942, 37.027399, 37.115087, 37.147482, 37.275385, 37.292743)))"
